GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
musicmeter,br.edu.insper.musicmeter.music.service,MusicService,40,24,0,2,10,6,3,4,3,3
musicmeter,br.edu.insper.musicmeter.review.controller,ReviewController,16,12,0,0,3,3,3,3,3,3
musicmeter,br.edu.insper.musicmeter.album.service,AlbumService,40,24,0,2,10,6,3,4,3,3
musicmeter,br.edu.insper.musicmeter.review.dto,ReviewSaveDTO,10,22,0,0,4,2,1,2,1,2
musicmeter,br.edu.insper.musicmeter.review.dto,ReviewDTO,39,0,0,0,7,0,3,0,3,0
musicmeter,br.edu.insper.musicmeter.music.controller,MusicController,16,12,0,0,3,3,3,3,3,3
musicmeter,br.edu.insper.musicmeter.album.controller,AlbumController,16,12,0,0,3,3,3,3,3,3
musicmeter,br.edu.insper.musicmeter.user.exception,FavoriteAlbumListFullException,7,0,0,0,3,0,1,0,1,0
musicmeter,br.edu.insper.musicmeter.user.dto,UserSaveDTO,14,32,0,0,6,7,1,2,1,2
musicmeter,br.edu.insper.musicmeter.user.dto,UserDTO,53,0,0,0,15,0,3,0,3,0
musicmeter,br.edu.insper.musicmeter.user.service,UserService,31,33,0,2,8,8,2,5,2,4
musicmeter,br.edu.insper.musicmeter.review.service,ReviewService,40,24,0,2,10,6,3,4,3,3
musicmeter,br.edu.insper.musicmeter.music.dto,MusicDTO,14,32,0,0,6,2,1,2,1,2
musicmeter,br.edu.insper.musicmeter.user.controller,UserController,16,12,0,0,3,3,3,3,3,3
musicmeter,br.edu.insper.musicmeter.review,Review,0,12,0,0,0,5,0,1,0,1
musicmeter,br.edu.insper.musicmeter.album.dto,AlbumDTO,14,32,0,0,6,2,1,2,1,2
musicmeter,br.edu.insper.musicmeter,MusicmeterApplication,8,0,0,0,3,0,2,0,2,0
musicmeter,br.edu.insper.musicmeter.common.exception,ObjectNotFoundException,0,4,0,0,0,2,0,1,0,1
musicmeter,br.edu.insper.musicmeter.user,User,23,28,2,0,6,9,3,1,2,1
